School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
1727,Kialla West Primary School,Primary,O,13,25,38,23,14,37,18,16,34,20.4,12,32.4,22,14,36,19,16,35,15,7,22,234.4
6229,Kiewa Valley Primary School,Primary,O,12,9,21,10,15,25,8,10,18,11,6,17,9,16,25,16,14,30,7.6,12,19.6,155.6
5350,Kilberry Valley Primary School,Primary,O,55,51,106,68.6,47,115.6,72,61,133,59,42,101,61,54,115,58,52,110,69,52,121,801.6
5352,Killara Primary School,Primary,O,47,34,81,36,43,79,43,51,94,40,45,85,50,43,93,54,36,90,56,36,92,614
1568,Kilmore Primary School,Primary,O,29,35,64,32,36,68,33,30,63,30,23,53,23,34,57,34,30,64,26,29,55,424
3645,Kilsyth Primary School,Primary,O,10,17,27,17,11,28,10,13,23,12,12,24,15,19,34,14,12,26,15,17,32,194
2188,Kinglake Primary School,Primary,O,5,5,10,9,6,15,8,7,15,7,4,11,7,7,14,4,3,7,5,7,12,84
3255,Kinglake West Primary School,Primary,O,8,7,15,22,16,38,13,12,25,19,14,33,18,6,24,16,10,26,13,11,24,185
5236,Kings Park Primary School,Primary,O,32,33,65,37,34,71,38,25,63,25,38,63,37,34,71,32,42,74,25,30,55,462
4845,Kingsbury Primary School,Primary,O,16,15,31,13,16,29,11.4,14,25.4,10,11,21,15,8,23,16,10,26,11,9,20,175.4
5135,Kingsley Park Primary School,Primary,O,28,23,51,34,22,56,25,34,59,28,29,57,37,31,68,33,29,62,32,24,56,409
5101,Kingston Heath Primary School,Primary,O,14,31,45,20,30,50,18,21,39,22,15,37,19,16,35,27,22,49,17,18,35,290
3988,Kingsville Primary School,Primary,O,48,39,87,48,55,103,42,54,96,50,53,103,43,40,83,45,30,75,59,41,100,647
5106,Kingswood Primary School,Primary,O,32,34,66,50,37,87,51,56,107,38,39,77,48,49,97,46,41,87,38,29,67,588
5180,Kismet Park Primary School,Primary,O,39,31,70,35,40,75,24,31,55,28,31,59,43,42,85,22,25,47,35,25,60,451
5429,Knox Central Primary School,Primary,O,7,6,13,11,9,20,9,4,13,10,6,16,6,10,16,6,7,13,7,15,22,113
5234,Knox Gardens Primary School,Primary,O,24,23,47,26,25,51,15,12,27,23,25,48,11,19,30,15,16,31,23,21,44,278
