School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
5354,Surfside Primary School,Primary,O,32,34,66,35,35,70,40,28,68,23,25,48,32,27,59,19,29,48,27.6,28,55.6,414.6
2778,Surrey Hills Primary School,Primary,O,20,32,52,27,31,58,40,30,70,38,37,75,28,27,55,30,21,51,25,27,52,413
4743,Swan Hill North Primary School,Primary,O,18,19,37,20,20,40,11,13,24,14,20,34,20,18,38,11,19,30,18,17,35,238
1142,Swan Hill Primary School,Primary,O,39,33,72,28,31,59,29,34,63,42,33,75,30,45,75,52,42,94,26,42,68,506
1631,Swan Reach Primary School,Primary,O,9,9,18,11,3,14,7,12,19,12.4,4,16.4,9,3,12,10,7,17,3,9,12,108.4
8892,Swifts Creek P-12 School,Pri/Sec,O,0,3,3,7,4,11,4,0,4,5,5,10,4,6,10,3,5,8,6,4,10,56
3559,Sydenham - Hillside Primary School,Primary,O,106,88,194,98,109,207,93,102,195,77,96,173,98,115.2,213.2,98,92,190,84,80,164,1336.2
4924,Syndal South Primary School,Primary,O,34,26,60,24,32,56,25,25,50,37,29,66,26,36,62,24,27,51,42,32,74,419
954,Talbot Primary School,Primary,O,1,6,7,6,4,10,5,4,9,7,4,11,0,3,3,7,8,15,9,5,14,69
1954,Talgarno Primary School,Primary,O,3,1,4,0.2,2,2.2,1.2,2,3.2,0,1,1,0,2,2,1,0,1,0.2,0,0.2,13.6
1365,Tallangatta Primary School,Primary,O,4,12,16,5,6,11,14,5,19,9.1,17,26.1,4,4,8,9,8,17,4.1,10,14.1,111.2
1488,Tallarook Primary School,Primary,O,4,5,9,4,5,9,13,3,16,3,3,6,6,2,8,7,2,9,6,2,8,65
3067,Tallygaroopna Primary School,Primary,O,6,5,11,10,4,14,7,4,11,7,4,11,5,1,6,6,6,12,4,4,8,73
2216,Tambo Upper Primary School,Primary,O,5,10,15,3.4,10,13.4,9,7,16,7,3,10,7,5,12,9,8,17,6,8,14,97.4
2840,Tanjil South Primary School,Primary,O,1,0,1,1,2,3,1,1,2,1,2,3,1,1,2,0,1,1,0,4,4,16
614,Taradale Primary School,Primary,O,3,4,7,2,9.6,11.6,6,2,8,4,3,7,2,4,6,5,3,8,1,1,2,49.6
1023,Tarnagulla Primary School,Primary,O,3,1.4,4.4,4,1,5,2,1,3,0,4,4,2,1,3,2,2,4,1,2,3,26.4
8914,Tarneit P-9 College,Pri/Sec,O,153,148,301,143,139,282,130,127,257,109,107,216,79,83,162,79,73,152,64,72,136,1506
4275,Tarwin Lower Primary School,Primary,O,5,5,10,3,2,5,2,4,6,2,1,3,5,2,7,6,2,8,0,0,0,39
5420,Tarwin Valley Primary School,Primary,O,13,3,16,11,10,21,5,11.6,16.6,4,6,10,3,9,12,7,14,21,5,6,11,107.6
4398,Tate Street Primary School Geelong,Primary,O,11,10,21,11,13,24,16,12,28,9,13,22,8,4,12,12,5,17,6,9,15,139
1441,Tatura Primary School,Primary,O,19,15,34,14.4,10,24.4,16,17,33,30,9,39,15,8,23,11,19,30,16,16,32,215.4
2282,Tawonga Primary School,Primary,O,4,2,6,2,4,6,2,7,9,3,5,8,5,3,8,2,3,5,6,3,9,51
5508,Taylors Hill Primary School,Primary,O,62,67,129,72,57,129,58,54,112,69,66,135,66,62,128,48.2,54,102.2,47,52,99,834.2
5258,Taylors Lakes Primary School,Primary,O,63,48,111,44,51,95,47,38,85,43,42,85,58,57,115,59,67,126,59,56,115,732
3356,Tecoma Primary School,Primary,O,31,30,61,28,31,59,30,27,57,24,27,51,19,28,47,27,27,54,25,28,53,382
2065,Teesdale Primary School,Primary,O,6,18,24,14,8,22,10,8,18,12,11,23,10,12,22,11,13,24,9,9,18,151
5004,Templestowe Heights Primary School,Primary,O,22,24,46,23,28,51,26,24,50,23,26,49,29,34.8,63.8,13.8,19,32.8,27,12,39,331.6
5129,Templestowe Park Primary School,Primary,O,37,40,77,24,30,54,28,37,65,29,22,51,37,29,66,39,47,86,36,28,64,463
4985,Templestowe Valley Primary School,Primary,O,52,34,86,35.2,36,71.2,28.6,27.2,55.8,42.4,28,70.4,24,25,49,33,34,67,45,31,76,475.4
5196,Templeton Primary School,Primary,O,54,52,106,49,52,101,57,46,103,50,50,100,52,56,108,54,43,97,57,46,103,718
5386,Tempy Primary School,Primary,O,0,2,2,1,1,2,1,1,2,4,0,4,1,1,2,0,1,1,0,4,4,17
6236,Terang College,Pri/Sec,O,13,6,19,16,20,36,15,12,27,9.5,10,19.5,18,16,34,17,7,24,7,14,21,180.5
2329,The Basin Primary School,Primary,O,63,45,108,46,40,86,35,30,65,33,38,71,34,34,68,29,35,64,29,34,63,525
8783,The Grange P-12 College,Pri/Sec,O,75,53.4,128.4,56.2,52,108.2,58,52,110,53,43,96,59.2,44,103.2,58,54,112,58,59,117,774.8
3581,The Lake Primary School,Primary,O,30,21,51,26,14,40,15,20,35,17,10,27,20,20,40,21,24,45,14,13,27,265
8846,The Lakes South Morang P-9 School,Pri/Sec,O,39,35,74,35,26,61,42,28,70,36,46,82,38,47,85,44,45,89,44,35,79,540
5173,The Patch Primary School,Primary,O,19,20,39,28,18,46,19,17,36,21,17,38,30.4,12,42.4,24,19,43,23,8,31,275.4
5343,Thomas Chirnside Primary School,Primary,O,49,44,93,57,44,101,34,38,72,37,30,67,32,27,59,30,41,71,28,38,66,529
5294,Thomas Mitchell Primary School,Primary,O,72,37,109,51,49,100,62,60,122,56,50,106,77,56,133,56,55,111,45,66,111,792
4827,Thomastown East Primary School,Primary,O,22,17,39,10,7,17,22,9,31,13,11,24,8,9,17,12,7,19,9,7,16,163
5134,Thomastown Meadows Primary School,Primary,O,17,29,46,24,16,40,19,24,43,29,22,51,20,30,50,20,30,50,26,21,47,327
631,Thomastown Primary School,Primary,O,9,21,30,18,12,30,19,17,36,20,19,39,13,15,28,18,14,32,17,22,39,234
4999,Thomastown West Primary School,Primary,O,27,20,47,27,13,40,24,19,43,20,18,38,31,28,59,21,33,54,29,31,60,341
2056,Thoona Primary School,Primary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3889,Thornbury Primary School,Primary,O,24,29,53,18,23,41,21,22,43,28,29,57,26,16,42,20,16,36,26.2,16,42.2,314.2
2966,Thorpdale Primary School,Primary,O,7,2,9,3,3,6,6,2,8,4,6,10,10,5,15,3,2,5,2,1,3,56
5479,Timbarra P-9 College,Pri/Sec,O,25,44,69,46,31,77,38,30,68,38,27,65,40,37,77,36,43,79,42,40,82,517
6260,Timboon P-12 School,Pri/Sec,O,13,15,28,13,19,32,15,15,30,25,18,43,27,18,45,21,12,33,25,10,35,246
1207,Timor Primary School,Primary,O,1,2,3,3,3,6,1,2,3,4,1,5,4,3,7,1,1,2,3,4,7,33
5075,Tinternvale Primary School,Primary,O,28,19,47,34,20,54,27,19,46,22,27,49,19,22,41,17,20,37,23,26,49,323
6255,Tongala Primary School,Primary,O,8,6,14,10,11,21,12,13,25,16,6,22,15,6,21,10,10,20,9,13,22,145
1225,Tooborac Primary School,Primary,O,4,1,5,2,3,5,0,5,5,0,0,0,4,0,4,0,0,0,2,4,6,25
1455,Toolamba Primary School,Primary,O,12,14,26,12,8,20,10,14,24,24,6,30,9,9,18,19,13,32,8,4,12,162
3237,Toolangi Primary School,Primary,O,2,2,4,2,1,3,4,1,5,1,4,5,0,1,1,4,1,5,2,3,5,28
5414,Toolern Vale and District Primary School,Primary,O,10,11,21,23,11,34,14,20,34,19,17,36,8,17,25,8,8,16,18,11,29,195
856,Toongabbie Primary School,Primary,O,3,3,6,6,8,14,6,2,8,7,0,7,4,5,9,4,7,11,1,5,6,61
2253,Toora Primary School,Primary,O,3,3,6,1,2,3,5,1,6,1,5,6,3,4,7,4,1,5,2,2,4,37
1503,Tooradin Primary School,Primary,O,22,21,43,24,11,35,22,25,47,15,26,41,21,13,34,23,20,43,18,16,34,277
3016,Toorak Primary School,Primary,O,50,35,85,33,38,71,47,37,84,25,20,45,41,48,89,34,30,64,26,29,55,493
3968,Toorloo Arm Primary School,Primary,O,11,7,18,15,11,26,8,10,18,7,18,25,10,8,18,13,14,27,16,11,27,159
4661,Tootgarook Primary School,Primary,O,18,21,39,16,20,36,15,17,32,27,13,40,13,28,41,26,22,48,13,21,34,270
3368,Torquay P-6 College,Primary,O,84,75,159,82,57,139,95,78,173,64,54,118,90,65,155,76.4,86,162.4,69,69,138,1044.4
2185,Trafalgar Primary School,Primary,O,22,22,44,27,25,52,34,26,60,24,27,51,40,36,76,30,29,59,28,26,54,396
4699,Traralgon (Kosciuszko Street) Primary School,Primary,O,19,14,33,16.4,17,33.4,18,20,38,23,13,36,20,32,52,26.8,19,45.8,21,16,37,275.2
4700,Traralgon (Liddiard Road) Primary School,Primary,O,24,20,44,23,17,40,22,15,37,30,25,55,18,20,38,29.4,21,50.4,17,25,42,306.4
4652,Traralgon (Stockdale Road) Primary School,Primary,O,33,31,64,26,32,58,40,31,71,39,41,80,40,46,86,45.4,41,86.4,39,32,71,516.4
2114,Traralgon South Primary School,Primary,O,6,9,15,10,5,15,12,8,20,5,8,13,11,11,22,6,7,13,5,10,15,113
1150,Trawalla Primary School,Primary,O,0,1,1,1,0,1,1,0,1,0,1,1,1,2,3,0,1,1,3,0,3,11
1588,Trentham District Primary School,Primary,O,11,14,25,4,4,8,10,3,13,6,7,13,9,11,20,7,7,14,4,3,7,100
5501,Truganina P-9 College,Pri/Sec,O,96,102,198,79,81,160,57,67,124,34,34,68,34,34,68,32,14,46,25,21,46,710
5498,Truganina South Primary School,Primary,O,75,59,134,65,79,144,48,54,102,64.4,47,111.4,59,35,94,55,48,103,43,33,76,764.4
4687,Tucker Road Bentleigh Primary School,Primary,O,55,48,103,59,35,94,63,32,95,44,51,95,45,40,85,44,38,82,31,24,55,609
4852,Tullamarine Primary School,Primary,O,12,22,34,25,31,56,27,15,42,21.1,21,42.1,30,16,46,23,26,49,29,23,52,321.1
5553,Tulliallan Primary School,Primary,O,45,37,82,9,27,36,20,21,41,20,18,38,23,24,47,19,9,28,12,11,23,295
2225,Tungamah Primary School,Primary,O,4,0,4,3,5,8,2,0,2,1,1,2,0,0,0,0,1,1,0,0,0,17
3129,Tyabb Primary School,Primary,O,21,34,55,24,32,56,29,31,60,31,29,60,24,27,51,16,33,49,20,44,64,395
3544,Tyabb Railway Station Primary School,Primary,O,6,12,18,8,11,19,10,9,19,7,8,15,9,6,15,6,11,17,12,4,16,119
2182,Tyers Primary School,Primary,O,7,5,12,8,5,13,4,4,8,4,4,8,3,3,6,6,4,10,7,4,11,68
621,Tylden Primary School,Primary,O,10,13,23,5,7,12,9,10,19,11,6,17,10,14,24,2,7,9,8,3,11,115
5403,Tyrrell College,Pri/Sec,O,4,2,6,4,3,7,5,3,8,4,3,7,4,5,9,8,3,11,12,3,15,63
3426,Ultima Primary School,Primary,O,1,0,1,1,1,2,0,1,1,1,0,1,0,0,0,1,0,1,2,1,3,9
1771,Undera Primary School,Primary,O,2,2,4,1,5,6,3,0,3,3,2,5,0,0,0,2,0,2,1,2,3,23
3819,Underbool Primary School,Primary,O,5,2,7,1,2,3,1,3,4,2,5,7,0,3,3,0,1,1,3,0,3,28
4945,University Park Primary School,Primary,O,31,14,45,28,24,52,18,18,36,21,12,33,21,12,33,19,11,30,11,21,32,261
3926,Upper Ferntree Gully Primary School,Primary,O,12,3,15,15,3,18,13,7,20,7,11,18,6,8,14,7,11,18,12,6,18,121
1244,Upper Plenty Primary School,Primary,O,11,10,21,15,17,32,15,8,23,9,14,23,19,15,34,16,17,33,13,8,21,187
3145,Upper Sandy Creek Primary School,Primary,O,0,0,0,0,1,1,0,0,0,2,0,2,1,1,2,1,0,1,0,0,0,6
4530,Upwey Primary School,Primary,O,8,3,11,4,2,6,7,8,15,4,4,8,7,8,15,13,7,20,9,6,15,90
4894,Upwey South Primary School,Primary,O,17,15,32,25,14,39,12,20,32,19,14,33,16,15,31,13,19,32,17,22,39,238
2103,Urquhart Park Primary School,Primary,O,21,25,46,19,23,42,24,24,48,24,34,58,25,25,50,27,35,62,27,13,40,346
4778,Valkstone Primary School,Primary,O,37,39,76,60,38,98,53,38,91,51,43,94,50,49,99,46.4,44,90.4,56,56,112,660.4
1022,Vermont Primary School,Primary,O,51,37,88,46,60,106,46,60,106,50,45,95,36,47,83,53,46,99,61,51,112,689
4892,Viewbank Primary School,Primary,O,43,39,82,36,48,84,51,53,104,62,48,110,38,48,86,39,38,77,52,50,102,645
5401,Waaia Yalca South Primary School,Primary,O,0,0,0,2,2,4,2,1,3,0,0,0,0.4,0,0.4,1,1,2,0,1,1,10.4
644,Wahgunyah Primary School,Primary,O,4,4,8,7,7,14,8,2,10,5,8,13,4,4,8,7,7,14,3,3,6,73
3139,Wales Street Primary School,Primary,O,43,46,89,38,43,81,45,53,98,49,44,93,42,38,80,43,39.5,82.5,42,40,82,605.5
664,Wallan Primary School,Primary,O,35,38,73,51,41,92,51,52,103,37,55,92,48,35,83,59,35,94,41,35,76,613
5055,Wallarano Primary School,Primary,O,47,48,95,69,43,112,51,43,94,65,37,102,33,54,87,59,39,98,52,46,98,686
5202,Wallaroo Primary School,Primary,O,5,4,9,4,13,17,9,3,12,1,9,10,11,10,21,4,9,13,8,13,21,103
3345,Wallington Primary School,Primary,O,16,11,27,12,15,27,10,13,23,14,13,27,7,15,22,9,14,23,5,10,15,164
2806,Walwa Primary School,Primary,O,0,0,0,1,1,2,1,0,1,0,3,3,1,0,1,1,1,2,2,3,5,14
275,Wandiligong Primary School,Primary,O,1,9.4,10.4,2,2,4,4,4,8,7,1,8,4,4,8,1,4,5,0,4,4,47.4
3892,Wandin North Primary School,Primary,O,15,22,37,23,27,50,19,20,39,20,16,36,15,15,30,18,12,30,9,17,26,248
1033,Wandin Yallock Primary School,Primary,O,7,3,10,9,4,13,5,5,10,4,3,7,4,4,8,9,8,17,12,3,15,80
1277,Wandong Primary School,Primary,O,25,46,71,45,28,73,32,39,71,29,28,57,16,24,40,28,17,45,26,16,42,399
643,Wangaratta Primary School,Primary,O,22,15,37,18,14,32,16,15,31,20,12,32,8,16,24,8,19,27,12,6,18,201
4642,Wangaratta West Primary School,Primary,O,32,36,68,34,25,59,27,27,54,29,22,51,28,26,54,25,24,49,32,19,51,386
3709,Wantirna Primary School,Primary,O,3,6,9,4,4,8,5,8,13,7,6,13,2,12,14,8,2,10,10,4,14,81
4582,Wantirna South Primary School,Primary,O,20,25,45,20,18,38,25,24,49,23,18,41,19,19,38,12,15,27,15,12,27,265
1485,Warburton Primary School,Primary,O,2,5,7,7,2,9,3,7,10,4,6,10,5,4,9,3,1,4,5,2,7,56
1334,Warracknabeal Primary School,Primary,O,13,11,24,9,5,14,12,13,25,9,11,20,12,9,21,9,15,24,11,7,18,146
4695,Warragul North Primary School,Primary,O,45,41,86,39,53,92,39,45,84,49,43,92,46,48,94,43,34,77,42,48,90,615
2104,Warragul Primary School,Primary,O,8,9,17,18,8,26,8,21,29,6,14,20,7,17,24,12,17,29,11,14,25,170
12,Warrandyte Primary School,Primary,O,11,6,17,12,14,26,7.6,13,20.6,21,18,39,20,13,33,24.8,21,45.8,14,20,34,215.4
3476,Warranwood Primary School,Primary,O,31,31,62,34,17,51,22,28,50,31,24,55,25,23,48,37,39,76,34,36,70,412
1591,Warrenheip Primary School,Primary,O,2,0,2,1,3,4,3,3,6,3,0,3,1,2,3,2,3,5,4,0,4,27
4773,Warrnambool East Primary School,Primary,O,29,40,69,38,40,78,38,25,63,38,45,83,34,29,63,29,28,57,29.6,36,65.6,478.6
1743,Warrnambool Primary School,Primary,O,37,32,69,33,17,50,35,38,73,39,42,81,54,38,92,32,36,68,44,43,87,520
182,Warrnambool West Primary School,Primary,O,7,9,16,10,7,17,5,14,19,13,5,18,10,8,18,7,13,20,12,7,19,127
4935,Watsonia Heights Primary School,Primary,O,35,40,75,29,19,48,22,17,39,20,20,40,29,23,52,17,9,26,14,11,25,305
4988,Watsonia North Primary School,Primary,O,45,50,95,46,37,83,32,41,73,33,29,62,33.2,48,81.2,42,30,72,39.2,46,85.2,551.4
4838,Watsonia Primary School,Primary,O,2,7,9,7,13,20,9,7,16,7,10,17,11,8,19,14,8,22,15,8,23,126
4060,Wattle Glen Primary School,Primary,O,5,3,8,26,14,40,5,11,16,13,13,26,9,6,15,12,4,16,10,9,19,140
3841,Wattle Park Primary School,Primary,O,33,30,63,27,32,59,21,31,52,23,21,44,26,30,56,34,32,66,29,21,50,390
5012,Wattle View Primary School,Primary,O,31,21,52,24,20,44,22,15,37,14,17,31,17,12,29,22,20,42,16,13,29,264
859,Waubra Primary School,Primary,O,2,6,8,1,7,8,4,4,8,5,4,9,7,7,14,5,4,9,4,2,6,62
5105,Waverley Meadows Primary School,Primary,O,15,6,21,14,9,23,22,18,40,23,12,35,15,17,32,11,18,29,10,7,17,197
6262,Wedderburn College,Pri/Sec,O,7,7,14,5,12,17,4,4,8,5,3,8,8,6,14,4,7,11,3,8,11,83
5206,Wedge Park Primary School,Primary,O,57,63,120,44,56,100,58,54,112,67,62,129,52,50,102,58,61,119,41,50,91,773
5157,Weeden Heights Primary School,Primary,O,14,14,28,8,7,15,8,8,16,14,19,33,13,9,22,15,11,26,16.6,11,27.6,167.6
5396,Welshpool and District Primary School,Primary,O,1,2,3,2,1,3,1,3,4,1,1,2,4,2,6,1,3,4,2,6,8,30
4041,Welton Primary School,Primary,O,1,1,2,0,0,0,0,0,0,3,1,4,0,0,0,1,2,3,0,0,0,9
4788,Wembley Primary School,Primary,O,56,46,102,42,43,85,61,60,121,47,55,102,53,45,98,56,65,121,48,42,90,719
1813,Wendouree Primary School,Primary,O,11,7,18,10,9,19,10,10,20,11,11,22,9,10,19,13,12,25,13,7,20,143
649,Werribee Primary School,Primary,O,45,27,72,45,38,83,44,34,78,30,49,79,44,28,72,39,43,82,49,24,73,539
6257,Werrimull P-12 School,Pri/Sec,O,3,3,6,1,1,2,0,0,0,2,0,2,4,2,6,0,1,1,0,4,4,21
3466,Wesburn Primary School,Primary,O,9,11,20,7,12,19,14,7,21,10,18,28,5,7,12,12,12,24,9,5,14,138
4851,Westall Primary School,Primary,O,17,11,28,19,14,33,23,9,32,15,17,32,15,21,36,9,22,31,13,12,25,217
4158,Westbreen Primary School,Primary,O,24,17,41,25,16,41,22,21,43,25,17,42,22,10,32,21,23,44,11,16,27,270
4177,Westgarth Primary School,Primary,O,51,48,99,53,41,94,45,43,88,51,33,84,51.4,47,98.4,46,43,89,43,50,93,645.4
5365,Westgrove Primary School,Primary,O,51,53,104,58,55,113,56,38,94,49,56,105,51,48,99,57,47,104,48,44,92,711
982,Westmeadows Primary School,Primary,O,33,31,64,43,26,69,35,36,71,35,25,60,33,36,69,34,29,63,22,39,61,457
5094,Wheelers Hill Primary School,Primary,O,40,42,82,37,36,73,38,42,80,31,36,67,34,35,69,33,37,70,34,36,70,511
1916,White Hills Primary School,Primary,O,61,59,120,57,44,101,49,43,92,54,36,90,40,47,87,34,45,79,35,40,75,644
5530,Whitehorse Primary School,Primary,O,37,27,64,33,35,68,30,30,60,25,32,57,25,23,48,17,25,42,9,13,22,361
5397,Whitfield District Primary School,Primary,O,2,1,3,3,2,5,1,6,7,2,3,5,5,1,6,3,3,6,1,3,4,36
5123,Whittington Primary School,Primary,O,18,12,30,10,11,21,12,7,19,12,12,24,12,9,21,14,7,21,12,4,16,152
2090,Whittlesea Primary School,Primary,O,43,34,77,28,28,56,31,33,64,45,27,72,30,23,53,24,25,49,35,34,69,440
1373,Whorouly Primary School,Primary,O,1,2,3,6,0,6,2,4,6,2,1,3,3,2,5,1,3,4,1,2,3,30
5558,Wilandra Rise Primary School,Primary,O,67,48,115,23,23,46,28,15,43,19,19,38,7,20,27,16,15,31,10,8,18,318
2662,Willaura Primary School,Primary,O,2,2,4,4,4,8,4,4,8,2,4,6,6,2,8,4,4,8,1,0,1,43
5544,William Ruthven Primary School,Primary,O,14,22,36,13,19,32,16,20,36,12,12,24,17,17,34,22,19,41,16,11,27,230
1409,Williamstown North Primary School,Primary,O,44,53,97,66,63,129,71,52,123,62,43,105,65,46,111,60,49,109,50,40,90,764
1183,Williamstown Primary School,Primary,O,30,35,65,46,35,81,31,30,61,50,38,88,42,36,78,45,45,90,37,30,67,530
5342,Willmott Park Primary School,Primary,O,74,54,128,66,68,134,71,75,146,53,42,95,45,44,89,62,44,106,52,36,88,786
2520,Willow Grove Primary School,Primary,O,9,8,17,6,6,12,8,6,14,6,4,10,10,4,14,3,6,9,4,4,8,84
3479,Willowmavin Primary School,Primary,O,11,8,19,14,7,21,7,8,15,9,11,20,5,8,13,12,7,19,10,2,12,119
4943,Wilmot Road Primary School Shepparton,Primary,O,24,21,45,20,22,42,13,16,29,19,18,37,20,18,38,25,26,51,28,22,50,292
2015,Winchelsea Primary School,Primary,O,7,11,18,11,11,22,6,15,21,13,12,25,8,11,19,14,12,26,13.4,11,24.4,155.4
1896,Windsor Primary School,Primary,O,9,12,21,12,22,34,16,17,33,9,10,19,9,17,26,12.4,13,25.4,19.4,14,33.4,191.8
652,Winters Flat Primary School,Primary,O,20,12,32,10,16,26,13,3,16,12,14,26,21,16,37,14,21,35,21,11,32,204
1870,Winton Primary School,Primary,O,1,1,2,5,1,6,0,1,1,2,3,5,2,0,2,3,2,5,0,3,3,24
5440,Woady Yaloak Primary School,Primary,O,16,13,29,34,18,52,34,17,51,22,27,49,27,21,48,23,23,46,22,18,40,315
8851,Wodonga Middle Years College,Pri/Sec,O,0,0,0,0,0,0,0,0,0,1,4,5,3,4,7,3,4,7,1,8,9,28
37,Wodonga Primary School,Primary,O,59,70,129,80,52,132,63.4,64,127.4,59,65,124,52,50,102,74,52,126,60,59,119,859.4
5042,Wodonga South Primary School,Primary,O,37,36,73,31.6,46,77.6,25,35,60,33,54,87,38.6,47,85.6,53,45,98,28,26,54,535.2
4814,Wodonga West Primary School,Primary,O,15,14,29,9,9,18,19,9,28,14,14,28,7,17,24,11,9,20,15,17,32,179
3241,Wonga Park Primary School,Primary,O,35,39,74,33,41,74,26,23,49,24,26,50,27,23,50,36,20,56,24,26,50,403
3716,Wonthaggi North Primary School,Primary,O,21,11,32,24,18,42,16,12,28,12,17,29,24,19,43,16,24,40,17,14,31,245
3650,Wonthaggi Primary School,Primary,O,30,23,53,17,35,52,20,26,46,27,19,46,18,18,36,30.4,23,53.4,29,25,54,340.4
647,Woodend Primary School,Primary,O,37,31,68,23,28,51,38,31,69,37,27,64,29,35,64,20,28,48,21,16,37,401
648,Woodford Primary School,Primary,O,19,10,29,15.4,11,26.4,19,15,34,19,14,33,15,11,26,10,11,21,13.4,16,29.4,198.8
5319,Woodlands Primary School,Primary,O,59,70,129,65.1,74,139.1,61,63,124,68,56,124,57,56,113,60,71,131,65,62,127,887.1
1176,Woodside Primary School,Primary,O,2,2,4,1,1,2,2,2,4,2,5,7,2,2,4,4,5,9,6,4,10,40
5049,Woodville Primary School,Primary,O,39,36,75,33,18,51,28,22,50,31,29,60,17,22,39,27,20,47,23,20,43,365
688,Woolsthorpe Primary School,Primary,O,6,2,8,10,4,14,10,2,12,10,5,15,6,4,10,8,4,12,5,10,15,86
3373,Woomelang Group School,Primary,O,0,0,0,1,0,1,1,1,2,1,1,2,1,1,2,1.1,1,2.1,2,0,2,11.1
653,Wooragee Primary School,Primary,O,0,0,0,3,0,3,0,1,1,2,1,3,1,0,1,5,1,6,0,0,0,14
4989,Wooranna Park Primary School,Primary,O,23,22,45,15,18,33,27,22,49,36,29,65,24.4,18,42.4,26,20,46,21,10,31,311.4
1259,Woori Yallock Primary School,Primary,O,22,20,42,26,25,51,19,15,34,20,19,39,15,19,34,18,18,36,24,8,32,268
5439,Woorinen District Primary School,Primary,O,10,7,17,11,3,14,10,4,14,7,4,11,4,6,10,5,6,11,5,3,8,85
1938,Wunghnu Primary School,Primary,O,0,2,2,1,0,1,0,1,1,1,2,3,1,0,1,2,0,2,0,2,2,12
2518,Wurruk Primary School,Primary,O,5,4,9,2,2,4,4,3,7,4,0,4,3,2,5,5,1,6,3,3,6,41
8831,Wycheproof P-12 College,Pri/Sec,O,1,2,3,2,4,6,1,8,9,8,5,13,3,6,9,1,6,7,6,7,13,60
5540,Wyndham Park Primary School,Primary,O,26.4,29,55.4,38,28,66,26,32,58,32.4,25,57.4,21,24,45,26.6,24,50.6,28,21,49,381.4
5549,Wyndham Vale Primary School,Primary,O,53,52,105,40,50.4,90.4,30,43,73,18,27,45,26,40,66,28,14,42,25,10,35,456.4
3976,Yaapeet Primary School,Primary,O,1,1,2,1,0,1,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,7
1103,Yackandandah Primary School,Primary,O,9,9,18,16,9,25,5,13,18,8,9,17,10,15,25,11,7,18,14,9,23,144
3967,Yallourn North Primary School,Primary,O,16,14,30,11,5,16,9,10,19,10.5,11,21.5,3,9,12,5,7,12,3,8,11,121.5
691,Yandoit Primary School,Primary,O,1,1,2,3,1,4,0,1,1,0,1,1,1,4,5,1,2,3,2,2,4,20
956,Yarra Glen Primary School,Primary,O,14,14,28,15,18,33,11,9,20,19,7,26,10,12,22,10,13,23,10,8,18,170
3216,Yarra Junction Primary School,Primary,O,23,16,39,16.8,10,26.8,13,12,25,22,19,41,15,14,29,16,19,35,18,15,33,228.8
5271,Yarra Primary School,Primary,O,20,18,38,22,32,54,17,17.2,34.2,28.6,20,48.6,15,9,24,22,12,34,13,13,26,258.8
4219,Yarra Road Primary School,Primary,O,26,35,61,17,22,39,29,22,51,29,26,55,20,26,46,27,24,51,18,19,37,340
2178,Yarragon Primary School,Primary,O,15,16,31,18,14,32,7,15,22,14,15,29,14,4,18,13,7,20,5,10,15,167
693,Yarram Primary School,Primary,O,20,7,27,9,11,20,15,14,29,13,18,31,15,10,25,15,15,30,16,14,30,192
4807,Yarraman Oaks Primary School,Primary,O,15,11,26,8,15,23,12,13,25,4,14,18,9,13,22,14,13,27,12,10,22,163
2054,Yarrambat Primary School,Primary,O,54,53.2,107.2,44,40,84,50,41,91,36,50,86,36,43.6,79.6,35,37,72,45,30,75,594.8
2832,Yarraville West Primary School,Primary,O,65,55,120,55,72,127,68,59,127,62,57,119,70,79,149,55,45,100,49,36,85,827
8883,Yarrawonga College P-12,Pri/Sec,O,34,31,65,32,26,58,27,37,64,29,29,58,29,42,71,28,30,58,43,29,72,446
4761,Yarrunga Primary School,Primary,O,11,8,19,13,10,23,11,14,25,6,12,18,12,12,24,15,12,27,14.6,9,23.6,159.6
699,Yea Primary School,Primary,O,7,5,12,14,9,23,11,9,20,17,12,29,15,8,23,13,8,21,9,5,14,142
1034,Yering Primary School,Primary,O,1,2,3,0,2,2,2,1,3,2,0,2,1.5,2,3.5,4,1,5,1,1,2,20.5
2419,Yinnar Primary School,Primary,O,11,13,24,17,20,37,14,13,27,20,15,35,19,12,31,17,11,28,10,19,29,211
2730,Yinnar South Primary School,Primary,O,1,5,6,4,0,4,2,1,3,2,4,6,3,2,5,3,2,5,0,2,2,31
5520,Yuille Park P-8 Community College,Pri/Sec,O,11,10,21,8,9,17,17,10,27,17,11,28,5,13,18,9,4,13,13,12,25,149
4359,Zeerust Primary School,Primary,O,0,3,3,2,2,4,2,0,2,1,2,3,1,3,4,0,4,4,1,0,1,21
