,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
210,GEOMETRIC_CENTER,"Raaf Base Chapel, Point Cook Road, Point Cook VIC 3030, Australia",ChIJ_4jYHcmH1moRWLmMsrRfWIE,"Raaf Base Chapel, Point Cook Road, Point Cook VIC 3030, Australia",-37.9244378,144.7488743,1,3030,OK,"church,establishment,place_of_worship,point_of_interest"
211,ROOFTOP,"225 Heaths Rd, Werribee VIC 3030, Australia",ChIJX8Ygk1uP1moR9lmX0P-P0_c,"225 Heaths Rd, Werribee VIC 3030, Australia",-37.8766932,144.6815757,1,3030,OK,street_address
212,ROOFTOP,"200 Tarneit Rd, Werribee VIC 3030, Australia",ChIJb1Ns2YWF1moRBXb3HubzahU,"200 Tarneit Rd, Werribee VIC 3030, Australia",-37.8830629,144.6626053,1,3030,OK,street_address
213,ROOFTOP,"12 Brighton St, Flemington VIC 3031, Australia",ChIJg-w_-xxd1moRQHf91CJCoH8,"12 Brighton St, Flemington VIC 3031, Australia",-37.785452,144.930096,1,3031,OK,street_address
214,RANGE_INTERPOLATED,"60 Maribyrnong Rd, Moonee Ponds VIC 3039, Australia",EjM2MCBNYXJpYnlybm9uZyBSZCwgTW9vbmVlIFBvbmRzIFZJQyAzMDM5LCBBdXN0cmFsaWE,"60 Maribyrnong Rd, Ascot Vale VIC 3032, Australia",-37.7721715,144.922303,1,3039,OK,street_address
215,ROOFTOP,"97 Quinn Grove, Keilor East VIC 3033, Australia",ChIJUyB6PqFe1moR6BuBBG04n-4,"97 Quinn Grove, Keilor East VIC 3033, Australia",-37.739698,144.8693181,1,3033,OK,street_address
216,ROOFTOP,"350 Calder Park Dr, Sydenham VIC 3037, Australia",ChIJ_5i6vMb11moRnfgE_TTaoR8,"350 Calder Park Dr, Sydenham VIC 3037, Australia",-37.7008813,144.7562982,1,3037,OK,street_address
217,ROOFTOP,"1/1 Station Street, Taylors Lakes VIC 3038, Australia",ChIJwcuNtPr11moRv4UlFegWXOk,"1 Taylors Lakes VIC 3038 Victoria, Station St, Taylors Lakes VIC 3038, Australia",-37.7004123,144.7741584,1,3038,OK,"cafe,establishment,food,point_of_interest"
218,ROOFTOP,"760 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",ChIJoVKzu_Nc1moRgGWFCw3oYbo,"760 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",-37.7652822,144.9247523,1,3039,OK,street_address
219,ROOFTOP,"820 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",ChIJge8MOYtc1moRFpcR7Hf_Cds,"820 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",-37.7600888,144.9212171,1,3039,OK,street_address
220,ROOFTOP,"45 Eglinton St, Moonee Ponds VIC 3039, Australia",ChIJ8XPh8Vdc1moR4_bQVJ2Bz80,"45 Eglinton St, Moonee Ponds VIC 3039, Australia",-37.769086,144.916271,1,3039,OK,street_address
