,accuracy,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
383,ROOFTOP,"17 Florence St, Horsham VIC 3402, Australia","Harvest Christian Church Church VIC,Australia",-36.7033048,142.1860458,1,3402,OK
384,ROOFTOP,"162 Baillie St, Horsham VIC 3400, Australia","The Anglican Parish of Horsham Church VIC,Australia",-36.711285,142.199714,2,3400,OK
385,ROOFTOP,"7 Bowen St, Camberwell VIC 3124, Australia","Salvation Army Church VIC,Australia",-37.839092,145.063617,1,3124,OK
386,ROOFTOP,"155 Verney Rd, Shepparton VIC 3630, Australia","Encounter Church VIC,Australia",-36.3540578,145.4167853,1,3630,OK
387,ROOFTOP,"207 Gap Rd, Sunbury VIC 3429, Australia","Sunbury Baptist Church VIC,Australia",-37.578582,144.702556,1,3429,OK
388,ROOFTOP,"209 Flinders Ln, Melbourne VIC 3000, Australia","Anglican Parish Church VIC,Australia",-37.8163569,144.9678441,1,3000,OK
389,ROOFTOP,"35 Aitken St, Gisborne VIC 3437, Australia","Faithworks Church VIC,Australia",-37.487085,144.591977,1,3437,OK
390,ROOFTOP,"66 Aitken St, Gisborne VIC 3437, Australia","Gisborne Presbyterian Church VIC,Australia",-37.4902396,144.5900395,1,3437,OK
391,ROOFTOP,"247 Station Rd, New Gisborne VIC 3438, Australia","House Of The Rock Church VIC,Australia",-37.462099,144.5968475,1,3438,OK
392,ROOFTOP,"54 Madeleine Rd, Clayton VIC 3168, Australia","St Andrews Presbyterian Church VIC,Australia",-37.9187718,145.1207579,1,3168,OK
393,ROOFTOP,"43 Ebden St, Kyneton VIC 3444, Australia","Kyneton Baptist Church VIC,Australia",-37.2471486,144.4504284,1,3444,OK
394,ROOFTOP,"1 Canterbury Rd, Camberwell VIC 3124, Australia","St Mark??s Anglican Church VIC,Australia",-37.8212974,145.0592091,1,3124,OK
395,ROOFTOP,"53/55 Guava St, Red Cliffs VIC 3496, Australia","Red Cliffs Church of Christ Church VIC,Australia",-34.310145,142.191431,2,3496,OK
396,ROOFTOP,"247 Eleventh St, Mildura VIC 3500, Australia","Anglican Parish of the Northern Mallee Church VIC,Australia",-34.190067,142.157509,2,3500,OK
397,ROOFTOP,"18 Alexina St, St Albans VIC 3021, Australia","Parish of St Alban the Martyr Church VIC,Australia",-37.739348,144.798288,1,3021,OK
398,ROOFTOP,"76 Windy Hill Rd, Marietta, GA 30060, USA","History Makers Church VIC,Australia",33.894445,-84.5668893,1,30060,OK
400,ROOFTOP,"757 McIvor Hwy, Junortoun VIC 3550, Australia","Bendigo Baptist Church VIC,Australia",-36.7680506,144.34503,2,3550,OK
401,GEOMETRIC_CENTER,"35-41 Forest Street, Bendigo VIC 3550, Australia","Bendigo (St John's) Presbyterian Church VIC,Australia",-36.758828,144.274917,1,3550,OK
402,ROOFTOP,"42 Ophir St, Golden Square VIC 3555, Australia","Golden City Baptist (Ind.) Church VIC,Australia",-36.7646225,144.2591696,1,3555,OK
403,ROOFTOP,"55 Halton Rd, Noble Park North VIC 3174, Australia","Miracle Christian Centre Church VIC,Australia",-37.954502,145.192201,1,3174,OK
404,ROOFTOP,"156 Collins St, Melbourne VIC 3000, Australia","Evangelical Presbyterian Church VIC,Australia",-37.8146256,144.9681937,1,3000,OK
405,ROOFTOP,"9 Pine Rd, Shepparton VIC 3630, Australia","GV Christian Fellowship Church VIC,Australia",-36.3559012,145.403161,1,3630,OK
406,ROOFTOP,"155 Verney Rd, Shepparton VIC 3630, Australia","Shepparton AOG Church VIC,Australia",-36.3540578,145.4167853,1,3630,OK
407,ROOFTOP,"600 Wyndham St, Shepparton VIC 3630, Australia","Shepparton Baptist Church VIC,Australia",-36.3978712,145.3949308,1,3630,OK
408,ROOFTOP,"500 Collins St, Melbourne VIC 3000, Australia","Exchange Church Church VIC,Australia",-37.8178471,144.957636,1,3000,OK
409,ROOFTOP,"209 Flinders Ln, Melbourne VIC 3000, Australia","Anglican Parish Church VIC,Australia",-37.8163569,144.9678441,1,3000,OK
410,ROOFTOP,"62 Mark St, North Melbourne VIC 3051, Australia","Life Church Church VIC,Australia",-37.7934011,144.9379942,1,3051,OK
411,ROOFTOP,"1012 E 8th St, Chandler, OK 74834, USA","VictoryLife Church VIC,Australia",35.7036964,-96.8685047,1,74834,OK
412,GEOMETRIC_CENTER,"Great Alpine Rd, Wangaratta VIC 3677, Australia","Wangaratta Wesleyan Methodist Church VIC,Australia",-36.3509115,146.3348884,1,3677,OK
413,ROOFTOP,"1718 Fry Rd #160, Houston, TX 77084, USA","Faith City Church VIC,Australia",29.791183,-95.717012,1,77084,OK
414,ROOFTOP,"154 Melrose Dr, Wodonga VIC 3690, Australia","Wodonga District Baptist Church VIC,Australia",-36.1328495,146.8651467,1,3690,OK
415,GEOMETRIC_CENTER,"Waterloo, IA 50702, USA","Ambassadors of Jesus Church VIC,Australia",42.4802643,-92.3471299,1,50702,OK
416,ROOFTOP,"87 Hansen St, Corryong VIC 3707, Australia","Corryong Baptist Church VIC,Australia",-36.197095,147.902292,2,3707,OK
417,ROOFTOP,"200 Tarneit Rd, Werribee VIC 3030, Australia","Church of Christ Church VIC,Australia",-37.8830629,144.6626053,1,3030,OK
418,ROOFTOP,"35 Ferres Blvd, South Morang VIC 3752, Australia","Planetshakers Church North Campus Church VIC,Australia",-37.643673,145.068718,1,3752,OK
419,ROOFTOP,"31-61 McLeans Rd, Bundoora VIC 3083, Australia","Encompass Church VIC,Australia",-37.6944794,145.054664,2,3083,OK
420,GEOMETRIC_CENTER,"28 Forest St., Whittlesea VIC 3757, Australia","New Horizons Church VIC,Australia",-37.511734,145.121374,1,3757,OK
421,ROOFTOP,"590 W Avon Rd, Avon, CT 06001, USA","Plenty Valley Baptist Community Church VIC,Australia",41.7783629,-72.8621971,1,6001,OK
422,ROOFTOP,"7 Commercial Dr, Wallan VIC 3756, Australia","Wallan Gateway Church VIC,Australia",-37.4176184,145.00181,1,3756,OK
423,ROOFTOP,"1248 High St Rd, Wantirna South VIC 3152, Australia","CityLife Church VIC,Australia",-37.878226,145.215003,1,3152,OK
424,GEOMETRIC_CENTER,"28 Forest St., Whittlesea VIC 3757, Australia","New Horizons Church VIC,Australia",-37.511734,145.121374,1,3757,OK
425,ROOFTOP,"400 SW Lake Village Blvd, Blue Springs, MO 64014, USA","Heartland Church VIC,Australia",38.981715,-94.270942,1,64014,OK
426,ROOFTOP,"1 Lilydale Rd, Healesville VIC 3777, Australia","Liberty Family Church VIC,Australia",-37.657605,145.509361,1,3777,OK
427,ROOFTOP,"7 Bowen St, Camberwell VIC 3124, Australia","Salvation Army Church VIC,Australia",-37.839092,145.063617,1,3124,OK
428,ROOFTOP,"86 Clendon Rd, Toorak VIC 3142, Australia","St John's Anglican Church VIC,Australia",-37.841997,145.0145036,1,3142,OK
429,ROOFTOP,"40/42 Gilbert Rd, Melbourne VIC 3072, Australia","St. Mark's Church Church VIC,Australia",-37.749541,144.988424,1,3072,OK
430,ROOFTOP,"184 Surrey Rd, Blackburn VIC 3130, Australia","Ranges Community Church VIC,Australia",-37.8156422,145.1565214,1,3130,OK
431,ROOFTOP,"47-49 Carronvale Rd, Mooroolbark VIC 3138, Australia","Carronvale Road Christian Church VIC,Australia",-37.781394,145.3282001,1,3138,OK
432,ROOFTOP,"832-834 High St Rd, Glen Waverley VIC 3150, Australia","Discovery Church VIC,Australia",-37.875248,145.1725537,2,3150,OK
433,ROOFTOP,"5/9 Clarke St, Lilydale VIC 3140, Australia","Yarra Valley Vineyard Church VIC,Australia",-37.7579779,145.3506275,2,3140,OK
434,ROOFTOP,"3039 Warburton Hwy, Millgrove VIC 3799, Australia","River Valley Church Church VIC,Australia",-37.755504,145.652106,1,3799,OK
435,ROOFTOP,"Monash University Clayton Campus, 38 Exhibition Walk, Clayton VIC 3800, Australia","The Good Shepherd Australian Orthodox Mission Church VIC,Australia",-37.911867,145.134207,1,3800,OK
