formatted_address,input_string,latitude,longitude,postcode,type,Culture
"32-38 Separation St, Northcote VIC 3070, Australia",Darebin Library ,-37.7697492,145.0008668,3070,Library ,Mandarin
"22 Service St, Bairnsdale VIC 3875, Australia",East Gippsland Shire Library ,-37.8254878,147.6286582,3875,Library ,Mandarin
"1350 Ferntree Gully Rd, Scoresby VIC 3179, Australia",Eastern Regional Library Corporation ,-37.899665,145.2314091,3179,Library ,Mandarin
"60 Playne St, Frankston VIC 3199, Australia",Frankston City Library ,-38.1458786,145.1237116,3199,Library ,Mandarin
"Gannawarra, VIC, Australia",Gannawarra Library Service ,-35.7052801,143.8237385,,Library ,Mandarin
"51 Little Malop St, Geelong VIC 3220, Australia",Geelong Regional Library Corporation ,-38.1470618,144.35659,3220,Library ,Mandarin
"161 Jasper Rd, Bentleigh VIC 3204, Australia",Glen Eira Library Service ,-37.9196382,145.0413838,3204,Library ,Mandarin
"56 Percy St, Portland VIC 3305, Australia",Glenelg Library ,-38.3475034,141.6039378,3305,Library ,Mandarin
"98 Main St, Romsey VIC 3434, Australia",Goldfields Library Corporation ,-37.350094,144.7433941,3434,Library ,Mandarin
"79 Benalla Rd, Shepparton VIC 3630, Australia",Goulburn Valley Regional Library Corporation ,-36.384682,145.420904,3630,Library ,Mandarin
"225 Lonsdale St, Dandenong VIC 3175, Australia",Greater Dandenong Library ,-37.9886875,145.2135006,3175,Library ,Mandarin
"21 Docker St, Wangaratta VIC 3677, Australia",High Country Library Corporation ,-36.3550961,146.3200058,3677,Library ,Mandarin
"Hobsons Bay, VIC, Australia",Hobsons Bay Library ,-37.8360799,144.8401227,,Library ,Mandarin
